0.05, 400, 0.8, 250, 0, 150, 530, 0.05, 400, 0.8, 250, 0, 150
0.25, 60, 3.5, 40, 0, 150, 250, 0.25, 60, 3.5, 40, 0, 150
0.15, 120, 1.5, 80, 0, 150, 250, 0.15, 120, 1.5, 80, 0, 150
0.15, 200, 1.5, 120, 0, 150, 530, 0.15, 200, 1.5, 120, 0, 150
0.05, 400, 0.8, 250, 0, 150, 530, 0.05, 400, 0.8, 250, 0, 150
0.25, 60, 3.5, 40, 0, 150, 250, 0.25, 60, 3.5, 40, 0, 150
0.15, 120, 1.5, 80, 0, 150, 250, 0.15, 120, 1.5, 80, 0, 150
0.15, 200, 1.5, 120, 0, 150, 530, 0.15, 200, 1.5, 120, 0, 150
0.05, 400, 0.8, 250, 0, 150, 530, 0.05, 400, 0.8, 250, 0, 150
0.25, 60, 3.5, 40, 0, 150, 250, 0.25, 60, 3.5, 40, 0, 150
0.15, 120, 1.5, 80, 0, 150, 250, 0.15, 120, 1.5, 80, 0, 150
0.15, 200, 1.5, 120, 0, 150, 530, 0.15, 200, 1.5, 120, 0, 150
0.05, 400, 0.8, 250, 0, 150, 530, 0.05, 400, 0.8, 250, 0, 150
0.25, 60, 3.5, 40, 0, 150, 250, 0.25, 60, 3.5, 40, 0, 150
